symbol	GSM1301444	GSM1301445	GSM1301446	GSM1301447	GSM1301448	GSM1301449	GSM1301450	GSM1301451	GSM1301452	GSM1301453	GSM1301454	GSM1301455	GSM1301456	GSM1301457	GSM1301458	GSM1301459	GSM1301460	GSM1301461
MYO10	6.9469754	7.99669453333333	8.55407113333333	7.61526766666667	9.77350958148148	7.7526166	9.26220366666667	8.87964966666667	8.90920476666667	10.186072	10.3291393333333	9.5883341	7.99667646666667	8.1614769	9.72207332222222	10.2806345694444	8.58451803333333	8.07087437777778
MYO15A	5.924861	4.959717	6.35104965	5.09792855	5.10218455	4.93915535	4.94464475	5.588036	4.91440165	5.84099735	7.15722375	5.43858225	6.1674941	5.7892027	6.8324398	5.1193287	5.21049385	5.915782
MYO15B	9.855286	9.05419233333333	8.54781196666667	9.513772	8.56410466666667	8.86507981481482	9.02923266666667	10.007695	10.0104063333333	9.834703	9.31713166666667	9.1278035	10.6863566666667	9.119616	9.356492	8.76320146296296	9.25862361111111	9.43782951851852
MYO16	3.9065811	2.82445735	4.23487735	3.6603508	7.55766885	2.7224978	5.33081795	3.50881715	2.67538605	6.070287	3.45628226111111	3.74502060555556	2.64633675	5.39407285	4.94685420833333	2.8015655	3.5941516	3.37770196388889
MYO18A	11.13522	10.889696	11.649354	11.2606	10.635981	10.756113	9.980334	11.315803	11.536059	10.6468052777778	10.791461	11.100207	10.942605	11.426453	11.308061	11.294418	10.786846	11.2387241111111
MYO18B	7.0938463	5.1707067	6.2330713	5.5899863	9.055027	8.246211	6.2842174	6.0004435	11.261017	5.000964	4.9828715	5.1542473	5.0946703	5.8122897	6.5121064	5.8692074	7.8841224	5.421165
MYO19	12.3272265	12.901704	12.7165315	12.27632575	11.862335	12.387819	12.251565	12.2516975	12.805798	13.0006315833333	12.7104606666667	12.383114	11.2997615	12.377052	12.2924725	12.91744	12.428357	11.8999105
MYO1A	8.08136672222222	9.365503	8.404687	9.376774	7.71913136666667	8.148879	9.055027	7.682037	8.166923	8.031097	9.6507	8.019775	9.597845	8.753731	7.500855	7.558486	8.87370544444444	8.00459
MYO1B	7.834962	6.8032992	9.002766125	7.251473275	8.58161225	8.24767075	9.085361625	8.206402525	8.6394584	9.94379075	7.6166395	7.9302273	8.13388345277778	7.799197	9.5732525	9.9753095	8.89517015	7.4713361
MYO1C	13.0871105	13.18878	13.6767549444444	12.9945466	13.6527856388889	13.201553	13.2997955	13.090265	13.3963445	13.2188815	12.9993091111111	13.2360885	13.153192	13.394295	13.624411	13.756961	13.4623175	13.214114
MYO1D	8.097185	6.82645655	9.2055453	7.501142	7.67152515	8.459098	8.349508	8.038841	8.7840985	8.2073005	8.376414	7.89731015	6.4428055	7.559016	7.98649435	9.53359815	8.09646	8.4124555
MYO1E	8.5779987	9.733836	10.130959	8.9752545	9.7433625	9.18569891944444	9.8662645	8.88359565	9.8956535	9.602162	9.3022717	9.27823975	9.5602685	9.4868825	8.8750023	10.5175045	9.551152	9.433525
MYO1F	12.0182905	11.0833395	10.8080845	12.5609215	11.5577265	12.0586735	11.209381	12.17287325	12.052418	9.984606	11.22342	12.340675	13.463254	12.4072905	11.3630863888889	10.5415141388889	12.2074677361111	12.219691
MYO1G	12.0574636666667	10.7051813333333	11.2165984074074	12.2244391481481	11.7271315	11.7059983333333	10.5171551666667	12.0188025	11.257679	9.63348833333333	11.0795298981481	11.9949003333333	14.0756123148148	12.3463851759259	11.8165773333333	11.0889353333333	12.0489468148148	12.155623962963
MYO1H	3.16902098194444	3.59979600555556	3.6257474	3.86539115	2.95557578888889	5.6787397	3.0158907	3.28786685	3.70793595	3.05686815	2.956784	2.95142035	4.09232855	2.95419275	2.95013	5.7338928	3.47333995	3.0054391
MYO3A	4.2946177	6.783524	4.505811	4.881678	4.3617024	2.96071058888889	6.638046	3.7632089	6.558363	5.650028	4.2800617	5.1071124	2.7455268	4.526335	5.109672	6.13342703888889	3.7172606	2.6628444
MYO3B	5.7993168	5.0629233	5.6492934	5.2892104	6.220932	5.69192695	4.95825935	6.2835145	4.61960625	6.46378547222222	3.9239219	5.6411771	3.29598784166667	5.91226165	5.537656	5.04965146111111	5.7575479	3.7290841
MYO5A	9.7425605	9.4375975	9.06233225	9.995468	8.62265035	9.450207	9.4659545	9.74108375	10.3421372777778	9.00162983333333	9.30780185	9.7439535	10.818363875	9.589314	8.906356	10.2141608333333	9.34033511111111	9.57272433333333
MYO5B	12.005619	13.698724	12.647516	12.126161	12.598439	12.45752	11.9597435	10.870022	13.354527	11.214298	13.334071	12.285218	9.306913	12.704928	11.4707775	13.983831	12.052389	12.290821
MYO5C	10.962585	12.453012	11.159657	11.157314	11.399187	9.843996	11.493936	10.15433	10.9993105	12.562196	11.669832	10.7285683888889	8.361071	10.873755	10.247075	11.4714163888889	11.472486	11.46479
MYO6	13.1273516944444	14.459705	13.12858	12.7331575	13.564092	12.5356625	12.3442778055556	11.6565075	12.3815885	13.4639995	12.227531	12.801923	9.3650945	11.9656585	13.1147905	12.6288799861111	12.839327	12.027143
